rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
22,https://openalex.org/W4376643972,research,7,-0.221267,Sparse identification of Lagrangian for nonlinear dynamical systems via proximal gradient method,"Sparse identification of Lagrangian for nonlinear dynamical systems via proximal gradient method. The autonomous distillation of physical laws only from data is of great interest in many scientific fields. Data-driven modeling frameworks that adopt sparse regression techniques, such as sparse identification of nonlinear dynamics (SINDy) and its modifications, are developed to resolve difficulties",2023
23,https://openalex.org/W4400934128,research,7,-0.220774,Dynamic modelling and efficiency prediction for forging operations under a screw press,"Dynamic modelling and efficiency prediction for forging operations under a screw press. Abstract Accurate predictions concerning a forging process can be obtained by numerical simulation, but only with a thorough knowledge of the main process variables. The material flow behavior and the interface effects are already well studied in the literature, but not the machine behavior, although it is requ",2024
24,https://openalex.org/W4312073836,research,14,-0.220009,The Guided Ultrasonic Wave Oscillation Phase Relation Between the Surfaces of Plate-Like Structures of Different Material Settings,"The Guided Ultrasonic Wave Oscillation Phase Relation Between the Surfaces of Plate-Like Structures of Different Material Settings. Lamb waves occur in thin-walled structures in two wave modes, the symmetric and antisymmetric mode. Their oscillation on the structures&amp;lsquo; surfaces is either in phase (symmetric) or shifted by a phase angle of &amp;pi; (antisymmetric). In this work, a method i",2022
25,https://openalex.org/W4362458493,research,17,-0.219223,Refining the time-frequency characteristic of non-stationary signal for improving time-frequency representation under variable speeds,"Refining the time-frequency characteristic of non-stationary signal for improving time-frequency representation under variable speeds. Time-frequency ridge not only exhibits the variable process of non-stationary signal with time changing but also provides the information of signal synchronous or non-synchronous components for subsequent detection research. Consequently, the key is to decrease the",2023
26,https://openalex.org/W7112591264,research,12,-0.218791,Numerical study of the imperial front wing considering ground effects,"Numerical study of the imperial front wing considering ground effects. This work presents a study on the application of Machine Learning (ML) strategies for the analysis and prediction of the mechanical behaviour of composite materials in aerospace engineering. These materials, due to their high strength-to-weight ratio and anisotropic properties, are widely used in aircraft structures. However, t",2025
27,https://openalex.org/W4400943932,research,12,-0.218506,Inference of Constitutive Relation of Phase‐Separated Polymers by Integrating Physics‐Informed Neural Networks and Symbolic Regression,Inference of Constitutive Relation of Phase‐Separated Polymers by Integrating Physics‐Informed Neural Networks and Symbolic Regression. Abstract Harnessing data to discover the underlying constitutive relation of phase‐separated polymers can significantly advance the fabrication of high‐performance materials. This work introduces a novel data‐driven method to learn the constitutive equation of dif,2024
28,https://openalex.org/W4404758232,research,7,-0.218448,A Receiver Position Estimation Method Based on LSTM for Multi-Transmitter Single-Receiver Wireless Power Transfer Systems,A Receiver Position Estimation Method Based on LSTM for Multi-Transmitter Single-Receiver Wireless Power Transfer Systems. The multi-transmitter single-receiver wireless power transfer (MTSR-WPT) system has good tolerance for coil misalignment because the magnetic fields generated by multiple transmitters can be shaped to adapt to position changes in the receiver coil. In order to achieve magnetic,2024
29,https://openalex.org/W3196925403,research,7,-0.218324,Study on Characteristics of the Vibration and Noise of High‐Power Scroll Compressor,"Study on Characteristics of the Vibration and Noise of High‐Power Scroll Compressor. With the rapid development of a high‐power scroll compressor (HSC), the dynamic performance of a scroll compressor has an important impact on the vibration and noise of the whole compressor. So, the dynamic characteristics and structural acoustic radiation characteristics of HSC under dynamic excitation are studie",2021
30,https://openalex.org/W4389933849,research,13,-0.217616,Precipitation Doppler Spectrum Reconstruction with Gaussian Process Prior,Precipitation Doppler Spectrum Reconstruction with Gaussian Process Prior. The challenge of reconstructing the Doppler spectrum of a precipitation-like event observed by a fast-scanning weather radar is addressed. A novel method is proposed where the echo sequence in time is assumed to be a complex Gaussian process with a known covariance structure. It is a two-step approach where the first step i,2023
31,https://openalex.org/W4393160651,research,7,-0.217293,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM. A buckling defect will appear on the outer surface of the deformed ring during the constrained ring rolling (CRR) of an aluminum alloy thin-wall conical ring with inner high ribs (AATWCRIHR) if the geometrical dimension of the ribs does not match th,2024
32,https://openalex.org/W4384651933,research,6,-0.216723,Comparative assessment for pressure field reconstruction based on physics-informed neural network,"Comparative assessment for pressure field reconstruction based on physics-informed neural network. In this paper, a physics-informed neural network (PINN) is used to determine pressure fields from the experimentally measured velocity data. As a novel method of data assimilation, PINN can simultaneously optimize velocity and solve pressure by embedding the Navier-Stokes equations into the loss func",2023
33,https://openalex.org/W4319335071,research,2,-0.216286,On the prediction of the mechanical properties of ultrafine grain Al-TiO2 nanocomposites using a modified long-short term memory model with beluga whale optimizer,"On the prediction of the mechanical properties of ultrafine grain Al-TiO2 nanocomposites using a modified long-short term memory model with beluga whale optimizer. Mechanical properties of fine grain nanocomposites differ from those of conventional composites due to the in situ effect caused by the addition of nanoparticle reinforcement and the complexity of strengthening mechanisms, which make th",2023
34,https://openalex.org/W4407466158,research,4,-0.216249,Aerodynamic Modeling and Aerodynamic Parameter Identification for High-Speed Aircraft,"Aerodynamic Modeling and Aerodynamic Parameter Identification for High-Speed Aircraft. The aerodynamic parameters modeling and identification method of high-speed aircraft are studied in this paper. Firstly, the dynamic characteristics and aerodynamic performance of high-speed aircraft are investigated to establish the aerodynamic parameters theoretical model. Then, this paper provides a neural ne",2024
35,https://openalex.org/W7111792724,research,12,-0.21537,Study of machine learning strategies for composite materials in aerospace engineering,"Study of machine learning strategies for composite materials in aerospace engineering. This work presents a study on the application of Machine Learning (ML) strategies for the analysis and prediction of the mechanical behaviour of composite materials in aerospace engineering. These materials, due to their high strength-to-weight ratio and anisotropic properties, are widely used in aircraft struct",2025
36,https://openalex.org/W3126615636,research,14,-0.215338,Machine Learning Based Preprocessing to Ensure Validity of Cross-Correlated Ultrasound Signals for Time-of-Flight Measurements,"Machine Learning Based Preprocessing to Ensure Validity of Cross-Correlated Ultrasound Signals for Time-of-Flight Measurements. Abstract High precision ultrasonic time-of-flight measurement is a well known part of non-destructive evaluation used in many scientific and industrial applications, for example stress evaluation or defect detection. Although ultrasonic time-of-flight measurements are wid",2021
37,https://openalex.org/W3186286236,research,10,-0.215184,Viscoelastic Properties of Inert Solid Rocket Propellants Exposed to a Shock Wave,"Viscoelastic Properties of Inert Solid Rocket Propellants Exposed to a Shock Wave. Abstract Inert solid rocket propellant samples were subjected to dynamic inflation experiments, to characterize the viscoelastic response at high strain rates. An oxyacetylene‐driven shock tube created the shock wave, which was used to dynamically pressurize the surface of the samples during the inflation experiment",2021
38,https://openalex.org/W4412485613,research,4,-0.214826,Digital-Twin of a Quadrotor Biplane Tailsitter UAV,Digital-Twin of a Quadrotor Biplane Tailsitter UAV. This paper presents the development and validation of a Digital Twin of a Quadrotor Biplane Tailsitter (QBiT) UAV to accurately capture the vehicle dynamics across multiple flight regimes. The Digital Twin integrates a baseline physics-based model with a neural network trained to predict the residual dynamics not captured by the physics model. Th,2025
39,https://openalex.org/W3117842935,research,7,-0.214414,A Machine Learning Based Hybrid Nonlinear Character Monitoring Approach For Compressor Blades Fault Diagnosis Using Blade Tip Timing Measurement,"A Machine Learning Based Hybrid Nonlinear Character Monitoring Approach For Compressor Blades Fault Diagnosis Using Blade Tip Timing Measurement. Compressor blades which are exposed to harsh working conditions in turbine engines will suffer from varying damage and complex faults inevitably. Thus, monitoring the blade dynamic condition instantaneously and effectively is essential for detecting init",2020
40,https://openalex.org/W3166836154,research,16,-0.214307,"Comparative analysis of methods to determine deflection in steel beams: theoretical analysis, finite element and experimental","Comparative analysis of methods to determine deflection in steel beams: theoretical analysis, finite element and experimental. This work makes a comparative study of two methods to determine deflection in steel beams: (a) Theoretical and (b) Finite element. For method (a) the solution of the differential equation associated with the modeling of the deflection of a beam is found, while for method (",2020
41,https://openalex.org/W7115092575,research,3,-0.21423,Molecule simulation and mathematical modeling for Con A-sugar affinity-based glucose-responsive particle insulin delivery systems for personalized insulin delivery,"Molecule simulation and mathematical modeling for Con A-sugar affinity-based glucose-responsive particle insulin delivery systems for personalized insulin delivery. Diabetes remains a pressing global health challenge, with insulin therapy being central to glycemic control in insulin-dependent patients. However, conventional delivery methods, e.g., subcutaneous injection, often fail to mimic the bo",2025
42,https://openalex.org/W4407851788,research,4,-0.213991,Irregular Micromotion Period Measurement: Reentry Boosters as a Case Study,Irregular Micromotion Period Measurement: Reentry Boosters as a Case Study. This work introduces the concept of irregular micromotion for the first time and proposes the first effective irregular micro-Doppler (m-D) period measurement using short-time similarity statistics and a Transformer-based neural network. The m-D period is one of the most important m-D features because it not only quantitat,2025
43,https://openalex.org/W3037369338,research,9,-0.213674,An Efficient Stock Market Trend Prediction Using the Real-Time Stock Technical Data and Stock Social Media Data,"An Efficient Stock Market Trend Prediction Using the Real-Time Stock Technical Data and Stock Social Media Data. Stock market trend prediction is one of the major issues which have been problematic to both financial analysts and scientific research on real-time streaming `data. Also, forecasting stock market returns based on the technical data is difficult due to noise in the data and mixed data t",2020
44,https://openalex.org/W4387976116,research,13,-0.213594,Numerical Simulation of Two-Dimensional Turbulent Dilatable Flows in a Fire,"Numerical Simulation of Two-Dimensional Turbulent Dilatable Flows in a Fire. Numerical simulations, based on the theories of computational fluid dynamics and combustion, are currently a powerful tool in the field of fire engineering. Field models allow us to analyze key aspects such as the integrity of buildings and safety. However, it is fundamental to define strategies that allow engineers to ob",2023
45,https://openalex.org/W4404773654,research,13,-0.213326,On the role of eddy viscosity in resolvent analysis of turbulent jets,"On the role of eddy viscosity in resolvent analysis of turbulent jets. This study presents an approach to investigate the role of eddy viscosity in linearized mean-field analysis of broadband turbulent flows. The procedure is based on spectral proper orthogonal decomposition (SPOD), resolvent analysis and the energy budget of coherent structures and is demonstrated using the example of a turbulent",2024
46,https://openalex.org/W4384341102,research,7,-0.213295,Soft Sensor Modeling for 3D Transient Temperature Field of Large-Scale Aluminum Alloy Workpieces Based on Multi-Loss Consistency Optimization PINN,Soft Sensor Modeling for 3D Transient Temperature Field of Large-Scale Aluminum Alloy Workpieces Based on Multi-Loss Consistency Optimization PINN. Uniform temperature distribution during quenching thermal treatment is crucial for achieving exceptional mechanical and physical properties of alloy materials. Accurate and rapid prediction of the 3D transient temperature field model of large-scale alu,2023
47,https://openalex.org/W4400025412,research,14,-0.213198,Data-driven aeroelastic analyses of structures in turbulent wind conditions using enhanced Gaussian Processes with aerodynamic priors,"Data-driven aeroelastic analyses of structures in turbulent wind conditions using enhanced Gaussian Processes with aerodynamic priors. Recent advancements in data-driven aeroelasticity have been driven by the wealth of data available in the wind engineering practice, especially in modeling aerodynamic forces. Despite progress, challenges persist in addressing free-stream turbulence and incorporati",2024
48,https://openalex.org/W2556930732,research,1,-0.212948,Constrained sparse Galerkin regression,"Constrained sparse Galerkin regression. The sparse identification of nonlinear dynamics (SINDy) is a recently proposed data-driven modelling framework that uses sparse regression techniques to identify nonlinear low-order models. With the goal of low-order models of a fluid flow, we combine this approach with dimensionality reduction techniques (e.g. proper orthogonal decomposition) and extend it",2018
49,https://openalex.org/W4286569765,research,7,-0.212912,Characterization of the Quality Factor in Spiral Coil Designs for High-Frequency Wireless Power Transfer Systems using Machine Learning,"Characterization of the Quality Factor in Spiral Coil Designs for High-Frequency Wireless Power Transfer Systems using Machine Learning. This paper presents a machine learning-based char-acterization of the quality (Q) factor in spiral coil designs for wireless power transfer systems operating at MHz frequencies. Due to skin and proximity effects, at such frequencies, it is challenging to estimate",2022
50,https://openalex.org/W4401340646,research,12,-0.212602,Comparative study of the experimentally observed and GAN-generated 3D microstructures in dual-phase steels,"Comparative study of the experimentally observed and GAN-generated 3D microstructures in dual-phase steels. In a deep-learning-based algorithm, generative adversarial networks can generate images similar to an input. Using this algorithm, an artificial three-dimensional (3D) microstructure can be reproduced from two-dimensional images. Although the generated 3D microstructure has a similar appeara",2024
51,https://openalex.org/W3130755177,research,12,-0.212504,On the Application of the Particle Swarm Optimization to the Inverse Determination of Material Model Parameters for Cutting Simulations,"On the Application of the Particle Swarm Optimization to the Inverse Determination of Material Model Parameters for Cutting Simulations. The manufacturing industry is confronted with increasing demands for digitalization. To realize a digital twin of the cutting process, an increase of the model reliability of the virtual representation becomes necessary. Thereby, different models are required to",2021
52,https://openalex.org/W4401008477,research,13,-0.21242,Linear and nonlinear flame response prediction of turbulent flames using neural network models,"Linear and nonlinear flame response prediction of turbulent flames using neural network models. Modelling the flame response of turbulent flames via data-driven approaches is challenging due, among others, to the presence of combustion noise. Neural network methods have shown good potential to infer laminar flames' linear and nonlinear flame response when externally forced with broadband signals.",2024
53,https://openalex.org/W4210512799,research,7,-0.212333,Model-based Microstrip Antenna Design,Model-based Microstrip Antenna Design. This paper aims to reduce the design cost and streamline the design processes for microstrip antennas by using a model-based antenna design technique that explains the behavior of the system more simply by describing the behavior of the elements in a system and the interactions between these elements for the process of antenna design phase that begins from th,2021
54,https://openalex.org/W4389118823,research,7,-0.212057,Experimental study on acoustic signal characteristic analysis and time delay estimation of pipeline leakage in boilers,Experimental study on acoustic signal characteristic analysis and time delay estimation of pipeline leakage in boilers. Abstract Acoustic signal detection technology has significant advantages in detecting the leakage and bursting of heat exchange pipes in boilers. To address the current lack of sound signal data for steam medium leakages and the problem of large errors in the complex sound field,2023
55,https://openalex.org/W4407566353,research,7,-0.211941,Power Transformer Vibration Analysis Model Based on Ensemble Learning Algorithm,"Power Transformer Vibration Analysis Model Based on Ensemble Learning Algorithm. The inflow of DC magnetic flux into the core of power transformers under DC bias conditions leads to a significant increase in operational losses, noise levels, and vibration amplitudes, posing substantial threats to the stability and reliability of the power system. To comprehensively examine the effects of DC bias o",2025
56,https://openalex.org/W4403016691,research,7,-0.211738,Exploring swirling flow dynamics: Unsupervised machine learning in Maxwell hybrid nanofluid convection over an exponentially stretching cylinder with non-linear radiation effects,"Exploring swirling flow dynamics: Unsupervised machine learning in Maxwell hybrid nanofluid convection over an exponentially stretching cylinder with non-linear radiation effects. This article analyses the flow of Maxwell hybrid nanofluid induced by an exponentially stretching and rotating cylinder . The presence of non-linear convection, non-linear radiation, and magnetic field is also assumed. T",2024
57,https://openalex.org/W3049287021,research,13,-0.211348,Damage Identification of a Steel Frame Based on Integration of Time Series and Neural Network under Varying Temperatures,Damage Identification of a Steel Frame Based on Integration of Time Series and Neural Network under Varying Temperatures. The effect of varying temperatures is one of the most important challenges of vibration‐based damage identification due to its bigger effects on the structural response than the damage itself. This study presents a methodology incorporating the autoregressive (AR) time series m,2020
58,https://openalex.org/W4319869887,research,1,-0.211266,Orthogonal Wavelet Transform-Based Gaussian Mixture Model for Bearing Fault Diagnosis,"Orthogonal Wavelet Transform-Based Gaussian Mixture Model for Bearing Fault Diagnosis. The Gaussian mixture model (GMM) is an unsupervised clustering machine learning algorithm. This procedure involves the combination of multiple probability distributions to describe different sample spaces. Principally, the probability density function (PDF) plays a paramount role by being transformed into local",2023
59,https://openalex.org/W4404269134,research,7,-0.21099,Model-Based Sequential Design of Experiments with Machine Learning for Aerospace Systems,"Model-Based Sequential Design of Experiments with Machine Learning for Aerospace Systems. Traditional experimental design methods often face challenges in handling complex aerospace systems due to the high dimensionality and nonlinear behavior of such systems, resulting in nonoptimal experimental designs. To address these challenges, machine learning techniques can be used to further increase the",2024
60,https://openalex.org/W4403472280,research,7,-0.210908,Accurate real-time modeling for multiple-blow forging,"Accurate real-time modeling for multiple-blow forging. Abstract Numerical simulations are crucial for predicting outcomes in forging processes but often neglect dynamic interactions within forming tools and presses. This study proposes an approach for achieving accurate real-time prediction of forging outcomes. Initially, a simulation-based surrogate model is developed to replicate key process cha",2024
61,https://openalex.org/W4404552042,research,16,-0.210856,Identification of Nonlinearity in Bolted Beam using ResponseControlled Testing and ForceControlled Testing,"Identification of Nonlinearity in Bolted Beam using ResponseControlled Testing and ForceControlled Testing. Nonlinear phenomena such as super-and sub-harmonics and unstable branches in frequency response functions (FRFs) often occur in slender structures, which are common in the aerospace, civil and wind power domains. The widely used methods of linear modal analysis are invalid for the identifica",2024
62,https://openalex.org/W4404933720,research,7,-0.210776,Application of Taguchi Method in Design of Surface Eddy Current Probes for Diagnostics of Power Equipment,"Application of Taguchi Method in Design of Surface Eddy Current Probes for Diagnostics of Power Equipment. The article's aim is to create a method of reducing the influence on the surface eddy current probes output signal of a number of interfering parameters without their elimination, to ensure its sta-bility, which is achieved as a result of computer search of design and operating values of prob",2024
63,https://openalex.org/W4311844979,research,7,-0.210694,Wind Velocity Field Simulation of the Large-Span Spatial Structure Based on the Wavelet Decomposition Method,"Wind Velocity Field Simulation of the Large-Span Spatial Structure Based on the Wavelet Decomposition Method. In this study, the wavelet decomposition method is combined with the vector AR model of the linear filter method to present a new method for simulating the fluctuating wind field of a large-span spatial structure. This method performs wavelet expansion on the autoregressive coefficients of",2022
64,https://openalex.org/W4312006804,research,9,-0.210546,DIAGNOSIS METHODS FOR MECHANISMS AND MACHINES BASED ON EMPIRICAL MODE DECOMPOSITION OF A VIBROSIGNAL AND THE WILCOXON TEST,"DIAGNOSIS METHODS FOR MECHANISMS AND MACHINES BASED ON EMPIRICAL MODE DECOMPOSITION OF A VIBROSIGNAL AND THE WILCOXON TEST. Methods for diagnosing mechanisms and machines based on the analysis of vibration signals are considered. In particular, the comparison of various algorithms for analyzing vibration signals in the time and frequency domains was made, methods for selecting diagnostic features",2022
65,https://openalex.org/W7146052419,research,9,-0.210521,回転機械設備の状態監視・診断法に関する研究 -構造系異常振動のメカニズム解明と知的診断法-,"回転機械設備の状態監視・診断法に関する研究 -構造系異常振動のメカニズム解明と知的診断法-. In order to effectively detect and identify the structure faults of rotating machinery, especially the precise diagnosis of structure faults at low speeds, in this study, we first proposed two kinds of dynamic model for shaft misalignment of rotating machinery as an entry point, the models will be used for vibration analysis of shaft misalignment stat",2019
66,https://openalex.org/W4376606316,research,13,-0.210511,Methodology Development of a Free-Flight Parameter Estimation Technique Using Physics-Informed Neural Networks,"Methodology Development of a Free-Flight Parameter Estimation Technique Using Physics-Informed Neural Networks. Unstable free-flight rigid body motion, consisting of 3D translational motion and large angular rates about all axes and orientations outside of typical flight envelopes, is a complex dynamical system with significant challenges in modeling and simulation. Current methods in predicting t",2023
67,https://openalex.org/W2848510496,research,12,-0.210372,Informatics Based Design of Bio-Lubricant with Nano Friction Modifiers and Evaluation of Its Tribological Properties,"Informatics Based Design of Bio-Lubricant with Nano Friction Modifiers and Evaluation of Its Tribological Properties. &lt;div class=""section abstract""&gt;&lt;div class=""htmlview paragraph""&gt;Statistical and computational intelligence techniques were employed for informatics based design of nano friction modifiers added bio-lubricant. Systematic data were generated through laboratory experiments,",2018
68,https://openalex.org/W4388704524,research,14,-0.210276,Research on Engine Thrust and Load Factor Prediction by Novel Flight Maneuver Recognition Based on Flight Test Data,"Research on Engine Thrust and Load Factor Prediction by Novel Flight Maneuver Recognition Based on Flight Test Data. Flight maneuver recognition (FMR) is a critical tool for capturing essential information about the state of an aircraft, which is necessary to improve pilot training, flight safety, and autonomous air combat. However, due to the alignment of multidimensional, multimodal time series",2023
69,https://openalex.org/W4221022185,research,12,-0.210046,A new multi-fidelity surrogate modelling method for engineering design based on neural network and transfer learning,"A new multi-fidelity surrogate modelling method for engineering design based on neural network and transfer learning. Purpose Compared with the low-fidelity model, the high-fidelity model has both the advantage of high accuracy, and the disadvantage of low efficiency and high cost. A series of multi-fidelity surrogate modelling method were developed to give full play to the respective advantages o",2022
