sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
3,1,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health_0077,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health,https://openalex.org/W2951003338,2019,0.892804,0.893208,0.000403,"Regulatory considerations on artificial intelligence for health 5.5 Privacy and data protection The WHO Global Strategy on Digital Health 2020-2025 classifies health data as sensitive personal data, or personally identifiable information, that requires a high standard of safety a","""Ok Google, am I sick?"": artificial intelligence, e-health, and data protection regulation. The healthcare sector has been impacted by Artificial Intelligence systems for several years. This is certainly favoured by the constant development of technologies based on sophisticated "
3,2,WHO_2020_Global_Strategy_on_Digital_Health_2020_2025_0003,WHO_2020_Global_Strategy_on_Digital_Health_2020_2025,https://openalex.org/W4392909252,2024,0.888502,0.888363,-0.000138,Contents ACKNOWLEDGEMENTS 2 INTRODUCTION 4 DIGITAL TECHNOLOGIES - SHAPING THE FUTURE OF GLOBAL HEALTH 7 VISION 10 PURPOSE 11 G UIDING PRINCIPLES 15 1. Acknowledge that institutionalization of digital health in the national health system requires a decision and commitment by count,"Tanzania's and Germany's Digital Health Strategies and Their Consistency With the World Health Organization's Global Strategy on Digital Health 2020-2025: Comparative Policy Analysis. BACKGROUND: In recent years, the fast-paced adoption of digital health (DH) technologies has tra"
3,3,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health_0138,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health,https://openalex.org/W4395464220,2024,0.887782,0.887411,-0.000372,"ETHICS AND GOVERNANCE OF ARTIFICIAL INTELLIGENCE FOR HEALTH 6. ETHICAL CHALLENGES TO USE OF ARTIFICIAL INTELLIGENCE FOR HEALTH CARE 90% of all jobs in the United Kingdom's NHS will require digital skills, including navigating the ""data-rich"" health-care environment, and also digi","Navigating the impact of artificial intelligence on our healthcare workforce. Artificial intelligence (AI) has become highly topical, finding application in many aspects of life, including healthcare, to support screening, diagnostics, treatment planning, surgery, patient care, e"
3,4,WHO_2020_Global_Strategy_on_Digital_Health_2020_2025_0072,WHO_2020_Global_Strategy_on_Digital_Health_2020_2025,https://openalex.org/W4392909252,2024,0.88458,0.885116,0.000537,"STRATEGIC OBJECTIVE 2: ADVANCE IMPLEMENTATION OF NATIONAL DIGITAL HEALTH STRATEGIES Proposed Actions Short-term (1-2 years) Medium-term (2-4 years) Long-term (4-6 years) promote capacity-building to develop, update and implement national strategies and investment plans for digita","Tanzania's and Germany's Digital Health Strategies and Their Consistency With the World Health Organization's Global Strategy on Digital Health 2020-2025: Comparative Policy Analysis. BACKGROUND: In recent years, the fast-paced adoption of digital health (DH) technologies has tra"
3,5,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health_0124,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health,https://openalex.org/W2951003338,2019,0.8807,0.880698,-2e-06,Regulatory considerations on artificial intelligence for health help facilitate the understanding of the algorithm decision-making process (explainability). Documentation should allow for the tracing and audits of the development process and the steps taken in the development and,"""Ok Google, am I sick?"": artificial intelligence, e-health, and data protection regulation. The healthcare sector has been impacted by Artificial Intelligence systems for several years. This is certainly favoured by the constant development of technologies based on sophisticated "
4,1,sdgi_01266_4,sdgi_NZL_VNR_2019,https://openalex.org/W4319264213,2023,0.836041,0.835135,-0.000906,"The reforms will shape a 30 year strategic plan for New Zealand education to support learners, deliver improved outcomes and meet the needs of the modern world. The changes will also link closely with cross-government work to develop a strategy to improve the wellbeing of childre","Ngā whai painga o Te Ao Haka. This report It sets out out to understand what benefits and changes can occur for ākonga Māori, whānau, and kaiako when a subject such as Te Ao Haka-that is grounded in te Ao Māori and centres Māori culture, language and identity, knowledge systems, "
4,2,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics_0073,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics,https://openalex.org/W4301626130,2022,0.832006,0.833012,0.001006,Individuals should also be able to acquire deeper insights into AI through schools and educational institutes. The curriculum of STEM disciplines needs to be periodically reviewed to keep up to date with the newest technological advancements in the data analytics and AI space. Fo,"The Ethics of Artificial Intelligence in Education. The transition of Artificial Intelligence (AI) from a lab-based science to live human contexts brings into sharp focus many historic, socio-cultural biases, inequalities, and moral dilemmas. Many questions that have been raised "
4,3,OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2_0177,OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2,https://openalex.org/W4410059241,2025,0.820317,0.823894,0.003577,"StatLink 2 https://stat.link/0pnyu1 Impact of the COVID-19 pandemic on Goal 4 The unprecedented health crisis that we are experiencing, linked to the rapid spread of COVID-19 throughout the world, is having strong impacts on education systems (Targets 4.1 and 4.2). Schools have h","COVID-19 and Its Effects on Education Systems Worldwide. The COVID-19 pandemic brought on a high-quality worldwide disruption in schooling, affecting over 1.6 billion beginners at some point in a couple of hundred and 90 countries.This article explores the multifaceted effect of "
4,4,UN_AI_Strategy_Resource_Guide_0131,UN_AI_Strategy_Resource_Guide,https://openalex.org/W4301626130,2022,0.820276,0.821713,0.001437,"The consensus reaffirms a humanistic approach to the use of AI with a view towards protecting human rights and preparing all people with the appropriate values and skills needed for effective human-machine collaboration in life, learning and work, and for sustainable development.","The Ethics of Artificial Intelligence in Education. The transition of Artificial Intelligence (AI) from a lab-based science to live human contexts brings into sharp focus many historic, socio-cultural biases, inequalities, and moral dilemmas. Many questions that have been raised "
4,5,sdgi_01090_8,sdgi_ARE_VNR_2022,https://openalex.org/W3171987642,2021,0.819057,0.823065,0.004008,"Abu Dhabi Vocation Educational & Training Institute (ADVETI) and Higher Colleges of Technology (HCT) confront challenges as well, in ensuring students meet the level of the Emirates Standardized Test (EMSAT) and the Language International Examinations by adapting and preparing th",Evaluating the Effectiveness of Distance Learning in Higher Education during COVID-19 Global Crisis: UAE Educators' Perspectives. The COVID-19 Pandemic affected all sectors worldwide including education sector changing the students learning environment at a large scale. In the ed
5,1,sdgi_01520_0,sdgi_EU_VNR_2023,https://openalex.org/W4390454334,2023,0.898057,0.898729,0.000673,Achieve gender equality and empower all women and girls EU internal action Overview and challenges Achieving gender equality is a major priority for the EU. It is afundamental value enshrined in the Treaties and the Charter of Fundamental Rights. The gendered impact of the COVID1,"Gender Equality as EU Strategy. Abstract Gender equality is an increasingly topical issue, but it has deep historical roots. The principle of gender equality found its legitimacy, even if limited to salary, in the 1957 Treaty of Rome, establishing the European Economic Community "
5,2,sdgi_00895_6,sdgi_MLT_VNR_2018,https://openalex.org/W4281253482,2022,0.882717,0.883283,0.000566,It involves sex education to people with intellectual disabilities as well as support to their parents/guardians in order to address such a sensitive topic and ensure a holistic approach towards a fulfilled life. A common misconception is that people with an intellectual disabili,Relevance of sex education for young people with intellectual disability. Of the various socially relevant crises of the world one that ought to be brought to limelight is the encumbrances faced by people who are intellectually disabled.People with intellectual disability are one
5,3,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics_0014,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics,https://openalex.org/W3121255672,2018,0.867348,0.866739,-0.000608,"In cases where AI systems are procured directly from developers, deployers will have to work together with thesedevelopers toachieve transparency.More onthis will becoveredin latersectionsoftheGuide. 2. Fairness and Equity Deployers should have safeguards in place to ensure that ","Learning Algorithms and Discrimination. In most accounts of Artificial Intelligence (AI), humans are pitted against the machines, and concerns about relative physical and mental strength populate the discussion. There are, however, numerous processes and shifts that AI stimulates"
5,4,UN_2016_The_Sustainable_Development_Goals_Report_2016_0053,UN_2016_The_Sustainable_Development_Goals_Report_2016,https://openalex.org/W3204763674,2021,0.857202,0.855952,-0.00125,"Despite progress, more than one in three Proportion of girls aged 15 to 19 who have undergone female genital mutilation girls aged 15 to 19 in the 30 countries where in 30 countries where the practice is concentrated, 1985-2015 (percentage) the practice is concentrated have under","Effectiveness of interventions designed to prevent or respond to female genital mutilation: A review of evidence. Girls are one-third less likely to be subjected to female genital mutilation (FGM) today than 30 years ago. However, rapid population growth in some of the world's po"
5,5,sdgi_01694_3,sdgi_ZWE_VNR_2021,https://openalex.org/W4404045706,2024,0.851687,0.851796,0.000108,These recommendations were adopted by the country and require a national action plan that assigns responsibilities as evidence of commitment and allocation of fnancial resources to facilitate implementation. The evaluation of all teaching and learning materials for schools in Zim,"Violence Against Women and Girls in Zimbabwe: A Review of a Decade of the Empirical Literature. Violence against women and girls (VAWG) is a complex social problem affecting many women globally. In Zimbabwe, intimate partner violence (IPV) and child marriages remain persistent pu"
6,1,sdgi_01942_4,sdgi_PSE_VNR_2018,https://openalex.org/W3009957916,2020,0.867261,0.866798,-0.000463,"The water network for Palestinians living in the West Bank is outdated, inefficient, and in urgent need of upgrading. As much as 34% of piped water in Palestine is lost to leakages due to an old and inefficient network. Palestinian communities not connected to the grid, or facing","Water governance under occupation : A contemporary analysis of the water insecurities of Palestinians in the Jordan Valley, West Bank. The West Bank, derived from its position on the western bank of the Jordan River, is the territory that came under Jordanian rule after the 1948 "
6,2,sdgi_01775_0,sdgi_AUS_VNR_2018,https://openalex.org/W2983023760,2018,0.819223,0.816895,-0.002328,"48 “National water use is projected to double by 2050… driven by increased population, economic growth, and new carbon plantings. This growth in demand can be met while enhancing nonagricultural water security, without increasing pressure on waterlimited catchments, through water","Next generation water efficiency: looking over the horizon. After major investment during the Millennium drought, many Australian cities have become more resilient by diversifying their water supplies with desalination, water recycling, rain tanks, and importantly, increased wate"
6,3,sdgi_01700_1,sdgi_AUS_VLR_melbourne_2022,https://openalex.org/W2983023760,2018,0.817852,0.816046,-0.001806,"Significant population growth and demand for water are putting pressure on the water supply. We have an important role to play in reducing water consumption both within our own operations, through planning controls for private development and demonstrating leadership in sustainab","Next generation water efficiency: looking over the horizon. After major investment during the Millennium drought, many Australian cities have become more resilient by diversifying their water supplies with desalination, water recycling, rain tanks, and importantly, increased wate"
6,4,sdgi_01942_3,sdgi_PSE_VNR_2018,https://openalex.org/W4394598727,2024,0.81605,0.817329,0.00128,"Currently, 97% of the water drawn from the aquifer is undrinkable, and only 10% of Gaza’s population has access to safe drinking water. As a result, contaminated water and a lack of sanitation are responsible for 26% of all disease in Gaza (See SDG 3). Without proper treatment, t","Assessment of water supply management in conflict armed zones and community awareness development. This study pertains to emergency planning in the water sector within conflict zones. It aims to provide valuable insights for planners, designers, operators, and administrators invo"
6,5,sdgi_01942_2,sdgi_PSE_VNR_2018,https://openalex.org/W4394598727,2024,0.809598,0.810955,0.001357,"Wastewater quantities generated in Palestine are estimated at 150 MCM, of which only 60% are collected. Current availability of centralized and decentralized wastewater treatment plants is treating only 25% of the generated wastewater, where only 1% of the treated wastewater is r","Assessment of water supply management in conflict armed zones and community awareness development. This study pertains to emergency planning in the water sector within conflict zones. It aims to provide valuable insights for planners, designers, operators, and administrators invo"
7,1,sdgi_02177_12,sdgi_IND_VNR_2020,https://openalex.org/W4294896642,2022,0.830685,0.829224,-0.001461,"Expanding supply of electricity at a faster rate to meet existing unmet industry, commerce, and household demand and rising future demand is another allied challenge that the country has to resolve. India remains high on its commitment to overcome these challenges with systematic","SUSTAINABLE DEVELOPMENT THROUGH AFFORDABLE AND CLEAN ENERGY-INDIA'S PERFORMANCE AND LATEST TRENDS IN ENERGY. <strong><em>Abstract</em></strong> <em>Sustainability is determined by three different parameters: environmental sustainability, social sustainability, and economic sustai"
7,2,sdgi_02177_2,sdgi_IND_VNR_2020,https://openalex.org/W4294896642,2022,0.827922,0.827878,-4.3e-05,"Globally, India stands third in renewable power generation, fourth in wind power and fifth in solar power. At the Climate Action Summit hosted by the UN Secretary General in September 2019, Prime Minister Modi reiterated India’s commitment to climate action with a more aggressive","SUSTAINABLE DEVELOPMENT THROUGH AFFORDABLE AND CLEAN ENERGY-INDIA'S PERFORMANCE AND LATEST TRENDS IN ENERGY. <strong><em>Abstract</em></strong> <em>Sustainability is determined by three different parameters: environmental sustainability, social sustainability, and economic sustai"
7,3,sdgi_02177_3,sdgi_IND_VNR_2020,https://openalex.org/W4294896642,2022,0.825394,0.823197,-0.002197,"of Electricity (LCOE) using solar photovoltaic (PV) has fallen to about INR 2,850 (USD 38) per megawatt hour (MWh) in 2019 - 14 per cent cheaper than coal-fired power LCOE. India was ranked the third most attractive country in the world in 2019 for renewable energy investment. Th","SUSTAINABLE DEVELOPMENT THROUGH AFFORDABLE AND CLEAN ENERGY-INDIA'S PERFORMANCE AND LATEST TRENDS IN ENERGY. <strong><em>Abstract</em></strong> <em>Sustainability is determined by three different parameters: environmental sustainability, social sustainability, and economic sustai"
7,4,UNDP_2022_Human_Development_Report_2021_2022_Shaping_Our_Future_in_a_Transforming_World_0380,UNDP_2022_Human_Development_Report_2021_2022_Shaping_Our_Future_in_a_Transforming_World,https://openalex.org/W4293201307,2022,0.819339,0.81619,-0.003149,The price of utility-scale solar improvements generating planetary pressures photovoltaics dropped by 89 percent from 2009 to 2019 (figure 5.1).35 The price of lithium-ion batteries But the path forward is likely to be volatile in the has fallen by 97 percent since their commerci,"Snapshot of photovoltaics - February 2022. For the past 10 years photovoltaic electricity generation has been the fastest-growing power generation source worldwide. It took almost six decades to achieve 100 GW of solar energy capacity in 2012, but the 1 TW level is likely to be b"
7,5,sdgi_02177_11,sdgi_IND_VNR_2020,https://openalex.org/W4294896642,2022,0.81696,0.814768,-0.002192,"Therefore, achieving low-carbon energy security is critical for the country’s sustainability agenda. { In the renewable energy sector, grid parity has been achieved notionally, as competitive auctions have helped substantially reduce prices for solar and wind power projects. Howe","SUSTAINABLE DEVELOPMENT THROUGH AFFORDABLE AND CLEAN ENERGY-INDIA'S PERFORMANCE AND LATEST TRENDS IN ENERGY. <strong><em>Abstract</em></strong> <em>Sustainability is determined by three different parameters: environmental sustainability, social sustainability, and economic sustai"
8,1,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0155,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W7117531206,2025,0.922048,0.92145,-0.000598,"WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS of skills gaps will be created. The education system will not necessarily be able to respond rapidly to such changes in demand. As automation increases productivity, the sa","The Future of Work: AI and Automation. Automation and artificial intelligence (AI) technological breakthroughs are having a huge impact on workers' lives and mainly on the jobs' demand. The revolutionary potential of AI and automation in redefining work positions,transforming ind"
8,2,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0176,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W4394062572,2024,0.902303,0.902226,-7.8e-05,"WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS Secondly, the skill requirements associated with artificial intelligence will change as AI use increases. If and when artificial intelligence is used extensively to replace",A Study on Impact of Artificial Intelligence on Employment in the Next Decade. The paper investigates the impact of artificial intelligence on the job market. It discusses how AI can both create new job opportunities and potentially displace traditional rules across various indus
8,3,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0124,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W3120047957,2020,0.901006,0.899768,-0.001237,"PUBLICATIONS OF THE MINISTRY OF ECONOMIC AFFAIRS AND EMPLOYMENT 21/2018 WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS 1 Reflections on work in the age of artificial intelligence Artificial intelligence (AI) has been co","Artificial Intelligence and Its Impact on Labour Relations in Estonia. The third industrial revolution, the digital revolution, affected economy and thus labour relations, too. Now the so-called fourth revolution, the artificial intelligence (AI) revolution, will cause further ma"
8,4,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0125,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W3120047957,2020,0.899776,0.899038,-0.000738,"PUBLICATIONS OF THE MINISTRY OF ECONOMIC AFFAIRS AND EMPLOYMENT 21/2018 WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS While the rate at which jobs will disappear appears fast, it is considerably lower than rates Finlan","Artificial Intelligence and Its Impact on Labour Relations in Estonia. The third industrial revolution, the digital revolution, affected economy and thus labour relations, too. Now the so-called fourth revolution, the artificial intelligence (AI) revolution, will cause further ma"
8,5,MinistryOfEconomicAffairsAndEmploymentFinland_2019_Leading_the_Way_into_the_Age_of_Artificial_Intelligence_0153,MinistryOfEconomicAffairsAndEmploymentFinland_2019_Leading_the_Way_into_the_Age_of_Artificial_Intelligence,https://openalex.org/W3120047957,2020,0.891983,0.890891,-0.001092,"LEADING THE WAY INTO THE ERA OF ARTIFICIAL INTELLIGENCE FINAL REPORT OF FINLAND'S ARTIFICIAL INTELLIGENCE PROGRAMME 2019 Key action 9: Prepare for artificial intelligence to change the nature of work Actions taken • The sub-group on the Transformation of society and work, with ec","Artificial Intelligence and Its Impact on Labour Relations in Estonia. The third industrial revolution, the digital revolution, affected economy and thus labour relations, too. Now the so-called fourth revolution, the artificial intelligence (AI) revolution, will cause further ma"
9,1,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust_0059,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust,https://openalex.org/W4388574445,2023,0.884077,0.882357,-0.00172,"CONCLUSION AI is a strategic technology that offers many benefits for citizens, companies and society as a whole, provided it is human-centric, ethical, sustainable and respects fundamental rights and values. AI offers important efficiency and productivity gains that can strength","Europe and the Global Race to Regulate AI. The EU wants to set the global rule book for AI. This blog explains the complex ""risk hierarchy"" that pervades the proposed AI Act, currently in the final stages of trilogue negotiation. This contrasts with the US focus on ""national secu"
9,2,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust_0046,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust,https://openalex.org/W4285387612,2022,0.879836,0.878763,-0.001072,"taken to ensure that they are made available upon request, in particular for testing or inspection by competent authorities. Where necessary, arrangements should be made to ensure that confidential information, such as trade secrets, is protected. c) Information provision Transpa","Documenting high-risk AI: an European regulatory perspective. &lt;p&gt;The increasing adoption of Artificial Intelligence (AI) systems in high-stakes applications brings new opportunities for innovation, economic growth and the digital transformation of society. However, this oft"
9,3,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust_0022,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust,https://openalex.org/W4388574445,2023,0.877893,0.875905,-0.001988,"If the EU fails to provide an EU-wide approach, there is a real risk of fragmentation in the internal market, which would undermine the objectives of trust, legal certainty and market uptake. A solid European regulatory framework for trustworthy AI will protect all European citiz","Europe and the Global Race to Regulate AI. The EU wants to set the global rule book for AI. This blog explains the complex ""risk hierarchy"" that pervades the proposed AI Act, currently in the final stages of trilogue negotiation. This contrasts with the US focus on ""national secu"
9,4,OECD_2023_Advancing_Accountability_in_AI_Governing_and_Managing_Risks_Throughout_the_Lifecycle_0012,OECD_2023_Advancing_Accountability_in_AI_Governing_and_Managing_Risks_Throughout_the_Lifecycle,https://openalex.org/W4387929216,2023,0.874635,0.871774,-0.002861,10  ADVANCING ACCOUNTABILITY IN AI Executive summary One of the ten OECD AI Principles refers to the accountability that AI actors bear for the proper functioning of the AI systems they develop and use. This means that AI actors must take measures ensure their AI systems are tru,"An International Consortium for Evaluations of Societal-Scale Risks from Advanced AI. Given rapid progress toward advanced AI and risks from frontier AI systems (advanced AI systems pushing the boundaries of the AI capabilities frontier), the creation and implementation of AI gov"
9,5,WorldBank_2024_Digital_Progress_and_Trends_Report_2023_0252,WorldBank_2024_Digital_Progress_and_Trends_Report_2023,https://openalex.org/W3151605938,2021,0.869684,0.867676,-0.002008,"Digital technologies including AI tend to give rise to natural monopolies, creating a small set of superstar firms that are headquartered in a few powerful countries but serve the entire world economy. There is a risk that the countries that lead in the advancement of AI may reap","Artificial Intelligence, Globalization, and Strategies for Economic Development. Progress in artificial intelligence and related forms of automation technologies threatens to reverse the gains that developing countries and emerging markets have experienced from integrating into t"
10,1,sdgi_03003_0,sdgi_BGR_VNR_2020,https://openalex.org/W4387505901,2023,0.869964,0.869644,-0.000321,In the process of deep social and economic changes in Bulgaria over the last 30 years there has been an increase in inequality among the population. Growth is not yet inclusive enough to reduce poverty and economic and social inequalities. The main objective of the policies until,Income Inequality in Bulgaria. Income inequality in Bulgaria has been going through a process of dynamic changes in the last 30 years as a result of the socio-economic development of the country.Bulgaria has made a difficult but successful transition from planned to open market m
10,2,sdgi_03003_1,sdgi_BGR_VNR_2020,https://openalex.org/W4387505901,2023,0.851267,0.850453,-0.000814,"When measured with the Gini coefficient, it was 39.6 in 2018. Inequality in Bulgaria is also measured according to the Inequality-adjusted Human Development Index (IHDI). The IHDI calculated for 2018 decreases from 0.816 to 0.714 after accounting for inequality (with perfect equa",Income Inequality in Bulgaria. Income inequality in Bulgaria has been going through a process of dynamic changes in the last 30 years as a result of the socio-economic development of the country.Bulgaria has made a difficult but successful transition from planned to open market m
