sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
3,3,sdgi_00947_4,sdgi_SAU_VNR_2023,https://openalex.org/W7124304989,2024,0.749168,0.747483,-0.001685,"Hospital bed data a stable proportion of hospital beds per 10,000 population over the years. Saudi Arabia’s health policy framework is underpinned by the Healthcare Law and the National Health Strategy. The Healthcare Law provides for comprehensive and accessible healthcare servi","Impact Of The National Healthcare Transformation On Healthcare Administration And Workforce In The Light Of Saudi Vision 2030. Background: Saudi Arabia has launched Vision 2030 as a comprehensive national development plan aimed at transforming multiple sectors, including the heal"
3,4,UN_SDG_Progress_Report_2020_0049,UN_SDG_Progress_Report_2020,https://openalex.org/W4385660382,2023,0.748349,0.746394,-0.001955,"Ensure healthy lives and promote well-being for all at all ages Until the end of 2019, advances in many areas of health continued, but the rate of progress was not sufficient to meet most Goal 3 targets. The COVID-19 pandemic is throwing progress even further off track. The rapid","COVID‐19 retreats and world recovers: A silver lining in the dark cloud. The coronavirus disease (COVID-19), which the World Health Organization classified as the Sixth Public Health Emergency Of International Concern (PHEIC) on January 30, 2020, is no longer a PHEIC. Millions we"
3,5,ungdc_003083,ungdc_RWA_74_2019,https://openalex.org/W7143820847,2019,0.747641,0.73694,-0.010701,"The international community stands at a crossroads. The decade starting in 2020 will either be remembered in history as a turning point or as the moment when multilateralism lost its way. Fortunately, the path forward is clear. Never before have we had such well-defined road maps","Deliberate Next Steps toward a New Globalism for Universal Health Coverage (UHC). Much effort has been expended on promoting universal health coverage (UHC). We focus on four areas that, on current trajectories, are unlikely to achieve sufficient progress to meet Sustainable Deve"
4,1,sdgi_01125_2,sdgi_CAN_VNR_2018,https://openalex.org/W7132959136,2023,0.827598,0.830037,0.002438,"2. Elementary to secondary school systems: All children in our elementary to secondary school systems deserve teaching and learning opportunities that are inclusive and that provide them with world-class skills in literacy, numeracy and science. 3. Post-secondary education: Canad","Indigenous Teacher Education Programs: Supporting Indigenous Sovereignty through Indigenous Education. Since the early 1970's, the Indigenous peoples of Canada have partnered with post-secondary institutions to develop and deliver Indigenous Teacher Education Programs [ITEP], spe"
4,2,sdgi_01198_12,sdgi_IDN_VNR_2021,https://openalex.org/W7130404872,2025,0.823082,0.821891,-0.00119,"There is a need to address out-of￾school children issue by accommodating and paying adequate attention to specifc needs and various issues faced by children, such as children with special needs, street children and neglected children, children in confict with the law, children in","Roles and Challenges of Educators in Inclusive Education and Speciality Schools in Indonesia. This article discusses the roles, types, competencies and challenges faced by educators in the context of inclusive education and speciality schools in Indonesia. Based on a review of na"
4,3,sdgi_01087_16,sdgi_AGO_VNR_2021,https://openalex.org/W4214816157,2022,0.810191,0.807284,-0.002908,"School dropout, exacerbated by the prolonged closure of schools and the fear caused by the COVID-19 pandemic has exacerbated these trends. The high num￾ber of children who are out of school even before the pandemic requires targeted and effective short-term approaches. Accor￾ding",Covid-19's Impact in the Angolan Higher Education Subsystem. Pandemic caused by Covid-19 revealed the weaknesses of many governments management. The classes shutdown showed the Angolan government the importance of distance learning for a society development. This work aimed to ch
4,4,African_Union_Continental_AI_Strategy_2024_0062,African_Union_Continental_AI_Strategy_2024,https://openalex.org/W7108707533,2025,0.790098,0.788828,-0.00127,"AI is being integrated into Tutoring Systems (ITS), which tailor and present learning content and personalised learning pathways based on data-informed analytics and learning processes. There is also a potential to use AI for assisting students with disabilities, but the design a","""Artificial Intelligence In Education: Moving Beyond Traditional Methods"". Artificial Intelligence (AI) has become one of the most discussed and applied technologies in modern education. It is slowly changing the way teachers teach and the way learners learn. Traditional methods "
4,5,UN_SDG_Progress_Report_2020_0069,UN_SDG_Progress_Report_2020,https://openalex.org/W3123445364,2020,0.780055,0.773535,-0.00652,"with school closures, at least 500 million children and youth are 2000 2004 2008 2012 2016 2018 currently excluded from these options. The sheer magnitude of school Male Female Total closures is likely to set back progress on access to education. Without remedial action, the effe","Lost Wages: The COVID-19 Cost of School Closures. Social distancing requirements associated with COVID-19 have led to school closures. In April, 192 countries had closed all schools and universities, affecting more than 90 percent of the world's learners: over 1.5 billion childre"
5,1,sdgi_01437_0,sdgi_AZE_VNR_2017,https://openalex.org/W4289079656,2022,0.853961,0.848827,-0.005134,"GOAL 5. Achieve gender equality and empower all women and girls The gender problem and ensuring gender equality are among the current problems in Azerbaijan, as in many countries around the world. Achieving gender equality and empowering women and girls are the keys to sus￾tainab","GENDER EQUALITY IN THE EDUCATION SYSTEM OF AZERBAIJAN REPUBLIC. Republic of Azerbaijan is developing rapidly in all areas in the 21st century notable progress such as protection of human rights, especially gender equality, ensuring and protecting children's rights etc. Education,"
5,2,sdgi_01437_2,sdgi_AZE_VNR_2017,https://openalex.org/W4289079656,2022,0.831811,0.825707,-0.006104,"As a result of measures taken so far, gender equality has been achieved in the field of secondary and higher education (the ratio of educated women aged 15-24 to men of the same age is 100%). Maintenance of this equality during the rapid social and economic development in the cou","GENDER EQUALITY IN THE EDUCATION SYSTEM OF AZERBAIJAN REPUBLIC. Republic of Azerbaijan is developing rapidly in all areas in the 21st century notable progress such as protection of human rights, especially gender equality, ensuring and protecting children's rights etc. Education,"
5,3,sdgi_00895_6,sdgi_MLT_VNR_2018,https://openalex.org/W4281253482,2022,0.831528,0.832832,0.001304,It involves sex education to people with intellectual disabilities as well as support to their parents/guardians in order to address such a sensitive topic and ensure a holistic approach towards a fulfilled life. A common misconception is that people with an intellectual disabili,Relevance of sex education for young people with intellectual disability. Of the various socially relevant crises of the world one that ought to be brought to limelight is the encumbrances faced by people who are intellectually disabled.People with intellectual disability are one
5,4,sdgi_01689_10,sdgi_ZAF_VNR_2019,https://openalex.org/W4388328510,2023,0.812967,0.810828,-0.002139,56 In addition the Department of Women since 2017 has been embarking on a series of national dialogues throughout the length and breadth of the country raising awareness and involving community participation in addressing the issue of GBV. This process has also included men and b,"Enforcement of Gender-Based Violence Legislation in South Africa: The Need for a Paradigm Shift. Gender-based violence (GBV) is particularly rife in countries facing socioeconomic challenges such as inequality, and violence perpetuated by discriminatory and prejudiced structures."
5,5,sdgi_01545_0,sdgi_IND_VNR_2020,https://openalex.org/W4399093228,2024,0.810767,0.806233,-0.004534,"The principles of gender equality and justice are embedded in the Constitution of India. Since its initial days as an independent nation state, India has taken bold steps to further gender equality. For instance, India adopted universal and equal sufrage in 1947, well before many",Mapping Gender Gap in Achieving the Sustainable Development Goals in India. This paper intends to analyse the efforts made by India to achieve the Sustainable Development Goals (SDGs). It prepares a thorough analysis of the gender challenges in each of the Goals. The interconnect
6,1,sdgi_01867_7,sdgi_GRC_VNR_2022,https://openalex.org/W4404013633,2024,0.760716,0.757004,-0.003712,"The main goal is to achieve full compliance with the requirements of the EU Directive 91/271/EEC to maximize the protection of surface and groundwater and the environment in general. SDGs 6.2, 6.3 • With regard to water savings, Greece, as a vulnerable country to the effects of c","European approaches to wastewater reuse regulation: A comparison between Spain, Malta and the Netherlands. Abstract Wastewater reuse is encouraged and facilitated by legislation and policy across the EU. A recent example is the EU Regulation 2020/741 on minimum requirements for w"
6,2,sdgi_01854_2,sdgi_EU_VNR_2023,https://openalex.org/W4404013633,2024,0.750983,0.746728,-0.004255,"Water stress is now on the rise in western and northern Europe as a direct consequence of climate change. Key initiatives The EU has a wide range of legislation, strategies, policies, ini￾tiatives and tools in place to contribute to the implementation of SDG 6. The Water Framewor","European approaches to wastewater reuse regulation: A comparison between Spain, Malta and the Netherlands. Abstract Wastewater reuse is encouraged and facilitated by legislation and policy across the EU. A recent example is the EU Regulation 2020/741 on minimum requirements for w"
6,3,sdgi_01822_1,sdgi_CYP_VNR_2017,https://openalex.org/W4412572405,2025,0.747919,0.743892,-0.004027,"Like other Mediterranean countries, Cyprus has a semi-arid climate and limited water resources which depend mainly on rainfall. However, rainfall is unevenly distributed with considerable regional variations, water resources are scarce and expensive to exploit and droughts occur ","Traditional Water Harvesting Systems In Climate Change Adaptation: Insights From A Semi-Arid Mediterranean Village. Network (2019) confirms this trend and predicts an escalation of temperature rise in the region, more intense and frequent heat waves and variably reduced precipita"
6,4,sdgi_01720_2,sdgi_ESP_VLR_barcelona_2020,https://openalex.org/W4226262814,2022,0.747038,0.739757,-0.007281,"6.2. Achieve access to adequate and equitable sanitation and hygiene services for all, and end open defecation, with special attention to the needs of women and girls, as well as people in vulnerable situations. 6.3. Improve water quality by reducing pollution, eliminating dumpin",Implementation of Water and Technology. Get admission to a enough quantity of excessive satisfactory water is vital for improving fitness and economic livelihood of human beings living in developing international locations. The purpose of this paper is to discover a number of the
6,5,sdgi_01775_1,sdgi_AUS_VNR_2018,https://openalex.org/W4390545452,2024,0.732355,0.733128,0.000773,"Australia has developed a unique set of water governance arrangements that draws on the jurisdictional responsibilities of all levels of government to work towards common goals and seeks to balance economic, social and environmental interests. High demand, combined with uncertain","Climate adaptive water policy in Australia's Murray Darling basin: soft options or hard commitments?. Adapting to climate change is a pressing societal imperative. Here, we examine water governance arrangements in Australia's Murray-Darling basin, evaluating their attributes and "
7,1,sdgi_03800_10,sdgi_NLD_VLR_amsterdam_2022,https://openalex.org/W3214918786,2020,0.801714,0.793048,-0.008666,"This becomes more urgent every year.’279 However, the estimate looks better than in previous years, as reduction of emissions in 2019 was higher than expected. Looking at these fgures from the perspective of the Amsterdam City Doughnut, the development is positive, but still the ","Electrification in the Eastern Harbour Area. In a bid to battle global warming the Dutch government has set ambitious targets to cut CO2 emissions in the Dutch Climate Agreement [1]. Aside from this state-driven initiative in line with the Paris agreement, several Dutch cities ha"
7,2,sdgi_03800_13,sdgi_NLD_VLR_amsterdam_2022,https://openalex.org/W3214918786,2020,0.791056,0.783864,-0.007192,"While Amsterdam clearly lags behind the nation￾al average with regard to this indicator (3.7% of houses have solar panels on the roof, compared to 15.7% nationally291), the lower percentage can at least partly be explained by the fact that Amster￾dam has many apartments without i","Electrification in the Eastern Harbour Area. In a bid to battle global warming the Dutch government has set ambitious targets to cut CO2 emissions in the Dutch Climate Agreement [1]. Aside from this state-driven initiative in line with the Paris agreement, several Dutch cities ha"
7,3,sdgi_03800_19,sdgi_NLD_VLR_amsterdam_2022,https://openalex.org/W3214918786,2020,0.786501,0.777074,-0.009427,"284Nieuw Amsterdams Klimaat 2021, p. 34. Number of shared cars comes from Kennisplatform CROW (March 2020). 285 The new norm BENG (Almost Energy Neutral Building) has three legal requirements: 1) energy need for heating and cooling has a maximum of 25kWh/m2/year, 2) primary fossi","Electrification in the Eastern Harbour Area. In a bid to battle global warming the Dutch government has set ambitious targets to cut CO2 emissions in the Dutch Climate Agreement [1]. Aside from this state-driven initiative in line with the Paris agreement, several Dutch cities ha"
7,4,sdgi_05685_8,sdgi_FIN_VLR_vantaa_2023,https://openalex.org/W4399556801,2024,0.782305,0.779963,-0.002342,"However, there was no shortage of electricity in Finland during the winter of 2022–2023, partly due to the mild weather. Nevertheless, we cannot predict future develop￾ments, and it is still important to be prepared for occasional power shortages. The City of Vantaa and the compa","The risks of electrified district heating in Finland's cold climate. Decarbonizing fossil fuel-dependent district heating systems is essential for achieving carbon neutrality, particularly in cold climates. In Finland, district heating operators are concentrating on electrifying "
7,5,sdgi_03800_14,sdgi_NLD_VLR_amsterdam_2022,https://openalex.org/W3214918786,2020,0.773021,0.763027,-0.009993,"38. Permits for these turbines must be granted before 2025. An extra 11 megawatts has been achieved by replacing smaller wind turbines with larger ones. Amsterdam is striving to achieve 550 MW of solar energy and 127 MW of wind energy by 2030.293 In 2019, Amsterdam’s main coal-fr","Electrification in the Eastern Harbour Area. In a bid to battle global warming the Dutch government has set ambitious targets to cut CO2 emissions in the Dutch Climate Agreement [1]. Aside from this state-driven initiative in line with the Paris agreement, several Dutch cities ha"
8,1,sdgi_02615_8,sdgi_THA_VNR_2021,https://openalex.org/W4410161545,2021,0.849371,0.844955,-0.004416,"From 2017- 2019, this resulted in an increase of 217,130 new SMEs, with 861,148 entrepreneurs receiving training. Challenges and Way Forward (1) Thailand has become a complete aging society since 2021. The year 2018 was the first year in which the number of elderly persons exceed","Towards Social Protection 4.0: An Assessment of Thailand's Social Protection and Labor Market Systems. This paper reviews Thailand's social protection (SP) and labor market systems, to assess how they can be strengthened to address the key trends that will shape its society and e"
8,2,UN_AI_Advisory_Body_Final_Report_2024_0046,UN_AI_Advisory_Body_Final_Report_2024,https://openalex.org/W4409363349,2025,0.795323,0.796698,0.001375,"Box 2: Economic opportunities of AI (continued) Nevertheless, while AI can enhance productivity, boost international trade and increase income, it is also expected to impact work. Research suggests that AI could be assistive to workers in some cases, and job displacement in other","Is AI Coming for Our Jobs? Rethinking the Future of Work and Inclusion. The evolving landscape of work in the age of digital technology, particularly artificial intelligence (AI), has sparked widespread debate about the future of employment. Concerns about potential human labour "
8,3,sdgi_02425_11,sdgi_BIH_VNR_2023,https://openalex.org/W4407750767,2025,0.780852,0.782424,0.001572,"Key results include establishment of 20 local employment partnerships, training of more than 1,600 unemployed people through local employment partnerships and more than 500 employed persons immediately afer training. Figure 31. Training of unemployed people for work on CNC machin","Tourism and career sustainability: Solution driven approach. The generation of new employment opportunity and economic development both are importantly fuelled up by the tourism industry. It has represented by continuous growth and diversification in the past couple of decades, a"
8,4,India_National_AI_Strategy_NITI_2018_0109,India_National_AI_Strategy_NITI_2018,https://openalex.org/W7108502695,2025,0.768027,0.766447,-0.00158,"Discussion Paper National Strategy for Artificial Intelligence Figure 21: Transition in jobs and skill sets Source: Reworking the Revolution, Accenture The demand for new-age jobs is accelerating in India, and can be attributed to three major factors35, viz. increased adoption of",Investigating the Impact of Artificial Intelligence on Uneducated Labour in India. The rationale behind the proposed research on the impact of artificial intelligence (AI) on uneducated labor in India is to understand how this transformative technology is affecting the workforce 
8,5,sdgi_02627_4,sdgi_UGA_VNR_2020,https://openalex.org/W4389299038,2023,0.761573,0.75514,-0.006432,"Child labour remains high at 15.1 percent (female, 13.5 percent; male, 16.8 percent) nationally,57 with regional varia￾tions. In Busoga sub-region the rate is 53 percent, owing in part to the fact that most children in that sub-region work on sugarcane plantations. Child labour v","Youth Unemployment in Uganda. This research showcases the difficulties Uganda faces with their increasing youth unemployment, such as school dropouts, teenage pregnancy, and lasting consequences of the Covid-19 outbreak. It compares how different demographics have an augmented ri"
9,1,Germany_AI_Strategy_2020_Update_0046,Germany_AI_Strategy_2020_Update,https://openalex.org/W4405087339,2024,0.809539,0.809343,-0.000197,"In particular, the Federal Government believes it makes sense in the interest of principle-based regulation to draft central principles for trustworthy AI which are harmonised across the EU. In addition to this, the Federal Government is actively supporting the processes and init","The next generation of AI tools are coming, do we need to better regulate them?. This research investigates the importance for robust regulation and legislation to properly govern the development of 'Frontier Artificial Intelligence Systems'. To do this a comparison of approaches"
9,2,EU_AI_Act_2024_0023,EU_AI_Act_2024,https://openalex.org/W4367059778,2023,0.792139,0.790404,-0.001735,"It is therefore necessary to prohibit certain unacceptable AI practices, to lay down requirements for high-risk AI systems and obligations for the relevant operators, and to lay down transparency obligations for certain AI systems. ELI: http://data.europa.eu/eli/reg/2024/1689/oj ","Documenting High-Risk AI: A European Regulatory Perspective. This article discusses transparency obligations introduced in the Artificial Intelligence Act, the recently proposed European regulatory framework for artificial intelligence (AI). An analysis of the extent to which cur"
9,3,EU_AI_Act_2024_0296,EU_AI_Act_2024,https://openalex.org/W4405087339,2024,0.775169,0.775137,-3.1e-05,"For high-risk AI systems which are safety components of devices, or are themselves devices, covered by Regulations (EU) 2017/745 and (EU) 2017/746, the notification of serious incidents shall be limited to those referred to in Article 3, point (49)(c) of this Regulation, and shal","The next generation of AI tools are coming, do we need to better regulate them?. This research investigates the importance for robust regulation and legislation to properly govern the development of 'Frontier Artificial Intelligence Systems'. To do this a comparison of approaches"
9,4,Germany_AI_Strategy_2020_Update_0045,Germany_AI_Strategy_2020_Update,https://openalex.org/W4405087339,2024,0.771992,0.770275,-0.001718,"Regulatory framework In addition to fostering competitiveness and innovation in the European Union, one of the Federal Government's stated aims is the responsible development and use of AI for the benefit of society as a whole. Whilst the multifaceted and ever-growing range of po","The next generation of AI tools are coming, do we need to better regulate them?. This research investigates the importance for robust regulation and legislation to properly govern the development of 'Frontier Artificial Intelligence Systems'. To do this a comparison of approaches"
9,5,Germany_AI_Strategy_2020_Update_0009,Germany_AI_Strategy_2020_Update,https://openalex.org/W3003489189,2019,0.764286,0.761741,-0.002546,"shape it together with them. This also goes hand in hand with greater promotion, involvement and networking of civil society projects and initiatives. Monitoring the AI landscape To record trends and developments in the German, European and international AI landscape and to then ","General perception of Artificial Intelligence and impacts on the financial sector in Finland. With the expansion of the Internet, digitization and big data, the Artificial intelligence (AI) has quickly become a topic of discussion and attention for the business community, directl"
10,1,UN_SDG_Progress_Report_2022_0126,UN_SDG_Progress_Report_2022,https://openalex.org/W4324292610,2022,0.774087,0.77271,-0.001377,"inequality rose by 1.2 per cent between 2017 and 2021, the first -2.6 -2 -3.2 such increase in a generation. Before the pandemic, inequality was -3.8 -4 -5.7 expected to have fallen by 2.6 per cent over the same period. -6 Forecasts suggest that income inequality within countries","Global Inequality in the Current Era. One of the most vehement criticisms to the current global era refers to the issue of huge income disparities within and between countries. At present, global inequality is higher than it was 200 years ago but, at the same time, up to COVID 19"
10,2,UN_SDG_Progress_Report_2023_0112,UN_SDG_Progress_Report_2023,https://openalex.org/W4324292610,2022,0.763856,0.763192,-0.000664,"reduction of 1.8 per cent between 1991 and 2014. And although there had -2 been increases in global between-country inequality in only 5 of the 29 years before the pandemic, the onslaught of COVID-19 has caused the largest -4 increase in between-country inequality in three decade","Global Inequality in the Current Era. One of the most vehement criticisms to the current global era refers to the issue of huge income disparities within and between countries. At present, global inequality is higher than it was 200 years ago but, at the same time, up to COVID 19"
10,3,sdgi_03055_5,sdgi_EU_VNR_2023,https://openalex.org/W4405710560,2024,0.759189,0.758253,-0.000937,"The Commission has also stepped up its efforts to help EU countries reduce inequalities from the outset, by publish￾ing a Communication on ‘Better assessing the distributional impact of Member States’ policies’ and a Communication on ‘Harnessing Talent in EU’s regions’, addressin","The Effectiveness of European Union Regional Policies - A Longitudinal Review. To improve the economic well-being of regions to avoid regional disparities in the EU, the EU sets the Cohesion Policy to boost regions that are lacking behind. The aim of this paper is to make an over"
10,4,UN_SDG_Progress_Report_2022_0125,UN_SDG_Progress_Report_2022,https://openalex.org/W4366827449,2023,0.736448,0.733372,-0.003076,"The pandemic has caused a rise in income inequality, jeopardizing two decades of steady progress The ongoing COVID-19 pandemic is exacerbating global income Change in between-country income inequality, 1988-2021 (percentage change) inequality. As a result, the steady progress ove","Underestimating the pandemic: the Impact of Covid-19 on Income Distribution in US and Brazil. Abstract The COVID-19 has exposed people to different risks, increasing the chances of losing jobs and income, worsening well-being levels, as well as developing serious health problems "
10,5,UN_SDG_Progress_Report_2020_0113,UN_SDG_Progress_Report_2020,https://openalex.org/W4366827449,2023,0.733415,0.730919,-0.002495,Reduce inequality within and among countries Despite some positive signs - such as lower income inequality in some countries and preferential trade status for lower-income countries - inequality in its various forms persists. The COVID-19 crisis is making inequality worse. It is ,"Underestimating the pandemic: the Impact of Covid-19 on Income Distribution in US and Brazil. Abstract The COVID-19 has exposed people to different risks, increasing the chances of losing jobs and income, worsening well-being levels, as well as developing serious health problems "
11,1,sdgi_03365_0,sdgi_KAZ_VNR_2019,https://openalex.org/W7117481320,2025,0.791786,0.791587,-0.0002,"84 Goal 11 MAKE CITIES AND HUMAN SETTLEMENTS INCLUSIVE, SAFE, RESILIENT AND SUSTAINABLE 84 VOLUNTARY NATIONAL REVIEW OF THE REPUBLIC OF KAZAKHSTAN 85 GOAL 11 Kazakhstan is making significant efforts to meet the challenges presented by regional and infrastructural development, and",Philosophy of Urbanization and Socio-Cultural Dynamics Issues of a High-Tech Capital. The research aims to identify the impact of urbanization and technological change on the socio-cultural structure of the city. The applied methodology was based on two data sources: 1) interview
11,2,sdgi_03220_23,sdgi_DEU_VLR_stuttgart_2021,https://openalex.org/W4385800574,2023,0.774076,0.767958,-0.006118,"Moreover, the social and cultural dimension of the sustainability goals, i.e. the “Reduction of poverty” (SDG 1), “Public health” (SDG ), “Education” (SDG ), “Gender equality (SDG ), “Civic participation” (SDG 1) and “Global partnerships” (SDG 1) are particularly relevant wi","Introduction to A Research Agenda for Sustainable Cities and Communities. As we stand part way through the period for achieving the Sustainable Development Goals (SDGs), this book takes stock of how the global research community has contributed to the delivery of SDG11. It also l"
11,3,UN_SDG_Progress_Report_2020_0126,UN_SDG_Progress_Report_2020,https://openalex.org/W3210733493,2021,0.767172,0.761297,-0.005874,"additional safety measures to mitigate the elevated risk of coronavirus World 47 transmission in crowded public transport. Global data illustrate the 0 20 40 60 80 100 need to enhance access to public transport systems that are well Access to high-capacity systems within 1,000 me","A brief study of public transportation and sustainable cities management during COVID-19 pandemic. This paper aims to analyse the measures adopted in Brazilian State Capitals and the Federal District, since the beginning of the pandemic, to ensure safety conditions in public tran"
